ID,CITY,STATE,LAT_N,LONG_W
1,City1,NY,45.13138,-114.111936
2,City2,OH,23.730202,-99.466653
3,City3,GA,28.138463,-88.414081
4,City4,NY,61.340207,-129.917167
5,City5,GA,55.371314,-97.300239
6,City6,MI,72.787795,-126.760883
7,City7,FL,37.321656,-123.380982
8,City8,PA,28.931439,-105.952722
9,City9,NY,53.299073,-85.00395
10,City10,FL,57.84595,-116.065162
11,City11,CA,43.615139,-111.752101
12,City12,MI,70.52167,-78.147411
13,City13,TX,73.387809,-88.57438
14,City14,NY,60.231749,-82.484441
15,City15,PA,33.057471,-85.733275
16,City16,MI,70.826011,-116.643471
17,City17,TX,48.800263,-91.737265
18,City18,NC,68.747976,-87.310897
19,City19,OH,28.924023,-97.291058
20,City20,OH,68.754137,-126.197353
21,City21,MI,74.457661,-123.424782
22,City22,FL,71.480313,-93.894769
23,City23,MI,33.242218,-123.482414
24,City24,NC,63.515724,-71.101489
25,City25,MI,61.763828,-122.755051
26,City26,GA,61.169773,-128.9547
27,City27,OH,61.358912,-99.867495
28,City28,OH,41.714892,-101.982034
29,City29,CA,51.578985,-123.848091
30,City30,OH,75.700666,-74.192695
31,City31,TX,30.074389,-105.6659
32,City32,IL,35.450831,-96.356752
33,City33,NY,47.75298,-109.378252
34,City34,NY,66.29226,-75.386414
35,City35,CA,63.28308,-121.767658
36,City36,MI,60.421294,-129.044005
37,City37,IL,31.194107,-74.48318
38,City38,CA,57.455535,-92.402419
39,City39,IL,76.251571,-95.305365
40,City40,TX,22.402871,-122.750895
41,City41,NC,34.918125,-114.719978
42,City42,NY,60.35678,-84.661079
43,City43,OH,27.165864,-87.307673
44,City44,CA,40.820855,-89.093502
45,City45,NY,67.238169,-88.442725
46,City46,PA,68.613792,-102.422812
47,City47,MI,66.39224,-89.647612
48,City48,GA,77.586943,-70.426437
49,City49,OH,54.763215,-97.445631
50,City50,NC,59.438491,-93.504924
51,City51,NC,79.866732,-115.640386
52,City52,IL,23.802719,-102.281648
53,City53,TX,44.477355,-110.404116
54,City54,GA,79.839256,-85.992584
55,City55,IL,40.163908,-127.527093
56,City56,MI,70.480528,-106.002418
57,City57,IL,48.682459,-89.022059
58,City58,IL,64.16989,-87.447793
59,City59,NC,34.400117,-95.927399
60,City60,PA,71.622461,-107.386638
61,City61,TX,34.88445,-115.983007
62,City62,MI,34.64509,-77.471609
63,City63,FL,48.448705,-100.092306
64,City64,OH,75.187843,-97.534133
65,City65,MI,59.752337,-114.212152
66,City66,PA,70.183273,-95.115031
67,City67,OH,70.132097,-120.696621
68,City68,FL,42.636856,-116.887932
69,City69,OH,74.828196,-120.714559
70,City70,NY,20.197099,-129.925437
71,City71,IL,34.82958,-85.019953
72,City72,IL,27.281425,-84.824531
73,City73,TX,25.039894,-120.848784
74,City74,IL,65.763364,-79.621746
75,City75,TX,30.468676,-113.556758
76,City76,OH,65.358479,-95.235177
77,City77,MI,44.231833,-85.007936
78,City78,MI,22.811974,-98.977853
79,City79,NC,64.912362,-93.318468
80,City80,MI,21.863039,-84.295905
81,City81,PA,75.140539,-82.413895
82,City82,OH,57.803038,-89.475881
83,City83,OH,76.86675,-70.492541
84,City84,OH,70.189335,-122.468922
85,City85,NC,34.496348,-112.759737
86,City86,PA,58.766218,-95.899861
87,City87,MI,60.934942,-114.648067
88,City88,FL,67.993551,-87.82039
89,City89,CA,41.789355,-119.16286
90,City90,OH,76.399113,-90.708123
91,City91,IL,55.513838,-73.485298
92,City92,IL,59.157739,-98.274212
93,City93,FL,26.976266,-107.845451
94,City94,MI,38.809755,-82.822728
95,City95,CA,76.826921,-91.625833
96,City96,MI,20.978568,-114.18557
97,City97,MI,39.303835,-104.158673
98,City98,TX,62.408502,-85.912716
99,City99,IL,65.606474,-127.139795
100,City100,TX,50.906929,-118.870714
101,City101,NC,36.187186,-126.723871
102,City102,OH,53.944729,-83.017574
103,City103,PA,68.869869,-92.664105
104,City104,NY,59.324511,-80.244488
105,City105,PA,63.252698,-88.940379
106,City106,PA,35.976367,-115.949496
107,City107,GA,59.799167,-71.620344
108,City108,IL,58.391677,-128.4651
109,City109,CA,30.693319,-93.547822
110,City110,OH,79.007459,-103.554509
111,City111,MI,35.18212,-104.369929
112,City112,GA,40.218781,-105.297419
113,City113,GA,41.878468,-81.838624
114,City114,OH,24.96019,-83.582901
115,City115,IL,29.034805,-86.276749
116,City116,NC,71.576354,-70.155803
117,City117,OH,56.515059,-120.926487
118,City118,IL,76.504674,-94.467229
119,City119,PA,76.681663,-112.562179
120,City120,PA,62.799312,-84.414164
121,City121,GA,39.745665,-79.030475
122,City122,OH,43.046619,-90.336357
123,City123,FL,64.161541,-105.901581
124,City124,TX,21.444129,-75.268815
125,City125,MI,64.215404,-116.858155
126,City126,CA,63.832594,-88.85939
127,City127,NC,49.460763,-91.563817
128,City128,PA,60.443891,-89.325077
129,City129,GA,34.580618,-129.379367
130,City130,MI,34.724843,-127.884329
131,City131,NY,25.520751,-117.87742
132,City132,NC,57.711217,-72.316897
133,City133,NY,26.499438,-78.684111
134,City134,GA,41.871152,-112.834694
135,City135,NC,44.271511,-79.668154
136,City136,NY,49.0845,-109.667966
137,City137,NY,29.001526,-73.82274
138,City138,TX,35.444875,-90.47773
139,City139,NY,67.527427,-113.97626
140,City140,OH,68.381009,-107.840177
141,City141,MI,35.072706,-122.751508
142,City142,MI,66.321822,-102.36651
143,City143,CA,55.876576,-81.776542
144,City144,CA,75.018278,-95.127724
145,City145,CA,28.531308,-105.188468
146,City146,GA,53.288735,-120.342997
147,City147,MI,20.393245,-111.442109
148,City148,NC,75.633785,-72.603168
149,City149,NY,29.57545,-114.752817
150,City150,TX,58.740369,-73.352642
151,City151,TX,54.008195,-116.385481
152,City152,NY,71.637147,-80.566913
153,City153,NY,72.137636,-77.527807
154,City154,FL,38.283654,-72.301059
155,City155,NC,66.679569,-107.532308
156,City156,GA,29.107818,-75.685337
157,City157,OH,79.996539,-85.99605
158,City158,TX,77.564027,-86.515441
159,City159,CA,44.488777,-80.100935
160,City160,NY,45.465677,-88.284214
161,City161,PA,76.086844,-106.099676
162,City162,NC,78.480348,-97.86681
163,City163,IL,33.863888,-120.076799
164,City164,CA,76.699431,-123.17021
165,City165,CA,61.359516,-109.527234
166,City166,OH,42.972403,-77.470955
167,City167,FL,23.3549,-101.498415
168,City168,FL,65.574602,-100.180605
169,City169,NC,38.745673,-84.319657
170,City170,OH,37.968865,-121.871803
171,City171,NY,22.206188,-70.586578
172,City172,MI,55.367579,-115.337273
173,City173,PA,58.860377,-83.937599
174,City174,FL,53.0409,-109.909294
175,City175,MI,68.322135,-128.384452
176,City176,IL,55.396791,-74.333362
177,City177,MI,70.191993,-113.87052
178,City178,GA,38.557524,-79.211929
179,City179,PA,76.229259,-71.503473
180,City180,FL,78.234683,-95.921867
